subject,student,sequence,gradeNumber,gradeName,prepared,expectation,,points,%,,,,hours,min's
English Lit,Archie,1,8,A star,4,A,,4,0.4,360,,Archie 10 = ,15,900
English,Archie,2,8,A star,3,B,,2,0.2,180,,Sid 10 = ,17,1020
Maths,Archie,3,8,A star,5,C,,7,0.7,630,,,,
Physics,Archie,4,8,A star,6,A,,7,0.7,630,,,,
Chemistry,Archie,5,8,A star,2,A star,,8,0.8,720,,,,
Biology,Archie,6,8,A star,1,B,,6,0.6,540,,,,
History,Archie,7,8,A star,7,A,,10,1,900,,,,
French,Archie,8,7,A,3,B,,5,0.5,450,,,,
Sociology,Archie,9,7,A,2,A,,8,0.8,720,,,,
Electronics,Archie,10,7,A,2,B,,7,0.7,630,,,,
Geography,Sid,1,8,A star,4,A,,7,0.7,714,,,,
Physics,Sid,2,8,A star,4,B,,8,0.8,816,,,,
Biology,Sid,3,8,A star,3,C,,7,0.7,714,,,,
Chemistry,Sid,4,8,A star,6,A,,7,0.7,714,,,,
English Lit,Sid,5,8,A star,5,A,,5,0.5,510,,,,
English,Sid,6,8,A star,5,B,,6,0.6,612,,,,
Latin Lit,Sid,7,8,A star,4,C,,8,0.8,816,,,,
Latin,Sid,8,8,A star,7,B,,4,0.4,408,,,,
Spanish,Sid,9,8,A star,6,B,,5,0.5,510,,,,
History,Sid,10,8,A star,5,A,,6.5,0.65,663,,,,
RS,Sid,11,7,A,8,C,,3,0.3,306,,,,
Maths,Sid,12,7,A,3,B,,10,1,1020,,,,
